Scenario,Source,Region,Units,Data,2020,2030,2040,2050,2060,2070,2080,2090,2100
SSP1 ,"(Jiang et al, 2020; Adj. '20)",Great Lakes,million,Population,46.957,50.67510588,54.13120821,57.18759056,60.05472271,62.65872911,64.60785507,65.31507475,64.71549172
SSP1 ,"(Jiang et al, 2020; Adj. '20)",IL,million,Population,12.625,13.69296579,14.6994428,15.60386157,16.45713277,17.23744806,17.83780617,18.09582262,17.98897648
SSP1 ,"(Jiang et al, 2020; Adj. '20)",IN,million,Population,6.756,7.275512489,7.753697613,8.171561321,8.561781731,8.914638491,9.173388856,9.253808855,9.148262184
SSP1 ,"(Jiang et al, 2020; Adj. '20)",MI,million,Population,10.017,10.79428367,11.51325731,12.14587364,12.73818114,13.27414781,13.6703884,13.80298838,13.65942814
SSP1 ,"(Jiang et al, 2020; Adj. '20)",OH,million,Population,11.718,12.66360562,13.54458025,14.3254614,15.05878549,15.72578732,16.22738306,16.41472394,16.27090329
SSP1 ,"(Jiang et al, 2020; Adj. '20)",WI,million,Population,5.841,6.242137589,6.6063109,6.919183871,7.209507529,7.469977228,7.655297649,7.698317395,7.594155363
SSP5,"(Jiang et al, 2020; Adj. '20)",Great Lakes,million,Population,46.957,52.66177164,58.63541992,65.03553681,72.12361371,79.38682222,86.3653337,92.45826431,97.31822698
SSP5,"(Jiang et al, 2020; Adj. '20)",IL,million,Population,12.625,14.19574245,15.84924327,17.62421661,19.58866378,21.60726244,23.55586596,25.27071902,26.65393262
SSP5,"(Jiang et al, 2020; Adj. '20)",IN,million,Population,6.756,7.576690934,8.433639876,9.350846327,10.36785015,11.40882979,12.40670015,13.27407358,13.96138727
SSP5,"(Jiang et al, 2020; Adj. '20)",MI,million,Population,10.017,11.22615943,12.48977942,13.84299226,15.3413745,16.87402109,18.34314806,19.62084321,20.63468504
SSP5,"(Jiang et al, 2020; Adj. '20)",OH,million,Population,11.718,13.16099888,14.67396678,16.29619022,18.09346697,19.93712313,21.71095452,23.26229402,24.50254513
SSP5,"(Jiang et al, 2020; Adj. '20)",WI,million,Population,5.841,6.497944819,7.17937435,7.905960692,8.71048367,9.530782794,10.31237533,10.9864842,11.51460476
SSP2,"(Jiang et al, 2020; Adj. '20)",Great Lakes,million,Population,46.957,50.44938086,53.50792797,56.12721781,58.68530116,60.97668678,62.60029061,63.49648572,63.79375486
SSP2,"(Jiang et al, 2020; Adj. '20)",IL,million,Population,12.625,13.63498247,14.53810035,15.32710943,16.09713804,16.79232226,17.30317114,17.61011878,17.74586987
SSP2,"(Jiang et al, 2020; Adj. '20)",IN,million,Population,6.756,7.24163539,7.660629329,8.013884592,8.359071136,8.666447593,8.878097466,8.986372284,9.010916522
SSP2,"(Jiang et al, 2020; Adj. '20)",MI,million,Population,10.017,10.74532192,11.37820504,11.91690032,12.44308068,12.91256606,13.24049024,13.41493424,13.46293942
SSP2,"(Jiang et al, 2020; Adj. '20)",OH,million,Population,11.718,12.60713304,13.38847455,14.05945042,14.71482881,15.30291172,15.72189945,15.95634661,16.03879709
SSP2,"(Jiang et al, 2020; Adj. '20)",WI,million,Population,5.841,6.213514833,6.528196681,6.7877246,7.041431498,7.26543414,7.412947589,7.479241323,7.481046861
SSP3,"(Jiang et al, 2020; Adj. '20)",Great Lakes,million,Population,46.957,48.12521723,48.29281388,47.57398403,46.37356031,44.80249002,42.67919655,40.05159163,37.13016124
SSP3,"(Jiang et al, 2020; Adj. '20)",IL,million,Population,12.625,13.04504189,13.19982487,13.10877845,12.86830891,12.50577609,11.97174432,11.28051457,10.49307177
SSP3,"(Jiang et al, 2020; Adj. '20)",IN,million,Population,6.756,6.889967962,6.876507526,6.735831209,6.532933509,6.284813893,5.965724528,5.581863264,5.162082517
SSP3,"(Jiang et al, 2020; Adj. '20)",MI,million,Population,10.017,10.23993194,10.2480822,10.06914798,9.792191739,9.441429741,8.978513703,8.413487066,7.789951362
SSP3,"(Jiang et al, 2020; Adj. '20)",OH,million,Population,11.718,12.02539011,12.08094536,11.91192588,11.6200658,11.23375276,10.70720675,10.05276008,9.323228704
SSP3,"(Jiang et al, 2020; Adj. '20)",WI,million,Population,5.841,5.915324718,5.868230858,5.720244175,5.524969115,5.296537332,5.012746483,4.678475707,4.317608123
SSP4,"(Jiang et al, 2020; Adj. '20)",Great Lakes,million,Population,46.957,49.74344645,51.86518085,53.2177942,54.15638248,54.60852148,54.21968926,52.942219,51.0080811
SSP4,"(Jiang et al, 2020; Adj. '20)",IL,million,Population,12.625,13.45539831,14.11601413,14.57217028,14.91116968,15.11111595,15.07391624,14.77780623,14.28553366
SSP4,"(Jiang et al, 2020; Adj. '20)",IN,million,Population,6.756,7.135030665,7.413802541,7.579215487,7.686047954,7.724944673,7.644851098,7.443580833,7.155024432
SSP4,"(Jiang et al, 2020; Adj. '20)",MI,million,Population,10.017,10.59179773,11.02248895,11.28897413,11.46815672,11.54518088,11.4450633,11.1598213,10.73830866
SSP4,"(Jiang et al, 2020; Adj. '20)",OH,million,Population,11.718,12.43043573,12.9765516,13.32880812,13.57613837,13.6996419,13.60987926,13.29539953,12.81512888
SSP4,"(Jiang et al, 2020; Adj. '20)",WI,million,Population,5.841,6.12322866,6.320566529,6.424587751,6.483157925,6.489110525,6.401781592,6.217548114,5.963907374
